Material_Name,Category,T_min_K,T_max_K,A,B,C,D,E,,,,,,,,,,
AL,Pure Metals,298.15,933,28.0892,-5.414849,8.560423,3.42737,-0.277375,,,,,,,,,,
Ag,Pure Metals,298.15,1234.93,21.36014,8.530965,1.517316,-0.584958,-0.063261,,,,,,,,,,
Cu,Pure Metals,298.15,1357.77,17.72891,28.0987,-31.25252,13.97214,0.068611,,,,,,,,,,
Fe,Pure Metals,298.15,1042,18.42868,24.64301,-8.913795,9.664705,-0.011243,,,,,,,,,,
Ni,Pure Metals,298.15,631,12.871,57.17,-60,20,0.1,,,,,,,,,,
Ti,Pure Metals,298.15,1155,22.01,12.08,-4.25,1.2,-0.11,,,,,,,,,,
Cr,Pure Metals,298.15,2180,19.25,16.02,-7.5,1.8,-0.05,,,,,,,,,,
W,Pure Metals,298.15,3695,22.5,6.8,-1.2,0.2,-0.08,,,,,,,,,,
Mo,Pure Metals,298.15,2896,21.8,8.5,-2.1,0.4,-0.06,,,,,,,,,,
Zn,Pure Metals,298.15,692.68,22.15,11.2,-3.5,1,-0.04,,,,,,,,,,
Pb,Pure Metals,298.15,600.61,24.1,7.5,-1.8,0.5,-0.02,,,,,,,,,,
Mg,Pure Metals,298.15,923,22,10.5,-2.8,0.8,-0.05,,,,,,,,,,
V,Pure Metals,298,2190,26.3,1.39,2.21,0.4,-0.17,,,,,,,,,,
Zr,Pure Metals,298,1700,29.01,-12.55,20.74,-5.914,-0.157,,,,,,,,,,
Hf,Pure Metals,298,2500,22.71,10.86,-1.9,0.306,-0.007,,,,,,,,,,
K,Pure Metals,298.15,336.35,-63.4741,-3226.34,14644.6,-16229.5,16.2941,,,,,,,,,,
Li,Pure Metals,298.15,453,169.552,-882.711,1977.438,-1487.312,-1.609635,,,,,,,,,,
Na,Pure Metals,298,370,72.6367,-9.49,-730.93,1414.51,-1.259,,,,,,,,,,
Rb,Pure Metals,298,312.65,9.44,65.31,45.51,-26.78,-0.107,,,,,,,,,,
Sr,Pure Metals,298,1050,23.88,9.29,0.919,0.035,0.0049,,,,,,,,,,
Be,Pure Metals,298,1527,21.206,5.688,0.968,-0.0017,-0.587,,,,,,,,,,
Co,Pure Metals,298,700,10.99,54.37,-55.51,25.81,0.164,,,,,,,,,,
Cs,Pure Metals,298,301.55,57.04,-50,48.55,-16.728,-1.223,,,,,,,,,,
Hg,Pure Metals,629.839,6000,20.67,0.17,-0.08,0.01,0.007,,,,,,,,,,
Nb,Pure Metals,2750,5130.82,33.472,0.000005,0.0086,0.00541,0.000058,,,,,,,,,,
Ti,Pure Metals,298,700,22.61,18.98,-18.18,7.08,-0.143,,,,,,,,,,
Ga,Pure Metals,298,302.92,102.33,-347.51,603.36,-360.7047,-1.49,,,,,,,,,,
Ba,Pure Metals,298,583,83.8,-406.18,915.06,-519.805,-0.191,,,,,,,,,,
W,Pure Metals,298,1900,23.95,2.63,1.25,-0.25,-0.048,,,,,,,,,,
Cr,Pure Metals,298,600,7.48,71.5,-91.67,46.04,0.138,,,,,,,,,,
Mn,Pure Metals,298,980,27.241,5.23,7.78,-2.11,-0.282,,,,,,,,,,
Ta,Pure Metals,298,1300,20.694,17.299,-15.689,5.608,0.061,,,,,,,,,,
AL2O3,Pure Metals,298.15,1800,102.429,38.7498,-15.91009,2.628181,-3.007551,,,,,,,,,,
SiO2,Ceramics & Refractories,298.15,848,-6.076591,251.6755,-324.7779,168.5604,0.002548,,,,,,,,,,
MgO,Ceramics & Refractories,298.15,2000,47.25995,5.681621,-0.872665,0.104413,-1.053955,,,,,,,,,,
TiO2,Ceramics & Refractories,298.15,1800,67.25147,18.91576,-12.01258,3.031855,-1.33471,,,,,,,,,,
Cr2O3,Ceramics & Refractories,305,2603,-147396,711495,-1.111*10^6,40756,2077.16,,,,,,,,,,
ZrN,Ceramics & Refractories,298.15,3255,46.46,7,0.007791,-0.00719,-0.72,,,,,,,,,,
MgAl2O4,Ceramics & Refractories,,2408,146.55,35.91,-0.184,0.0314,-3.66,,,,,,,,,,
ZrO2,Ceramics & Refractories,298.15,1478,69.62,14.8,-6.2,1.1,-1.25,,,,,,,,,,
SiC,Ceramics & Refractories,298.15,2000,39.4,14.2,-5.1,0.8,-0.95,,,,,,,,,,
TiC,Ceramics & Refractories,298.15,2000,49.5,3.8,-0.4,0.05,-1.2,,,,,,,,,,
WC,Ceramics & Refractories,298.15,2000,43.1,8.9,-2.3,0.3,-0.7,,,,,,,,,,
ALN,Ceramics & Refractories,298.15,900,17.23,85.64,-83.27,29.63,-0.538,,,,,,,,,,
B4C,Ceramics & Refractories,298.15,2743,95.998,23.165,-0.4096,0.081414,-4.3952,,,,,,,,,,
ZrC,Ceramics & Refractories,298.15,3805,51.02723,3.68564,-0.199,0.028939,-1.30381,,,,,,,,,,
SiC,Ceramics & Refractories,,1000,20.56,64.58,-52.988,16.96,-0.782,,,,,,,,,,
ZrO2,Ceramics & Refractories,298,1478,69.2,8.55,-0.863,0.2464,-1.383,,,,,,,,,,
